Time,LeftEncoder,RightEncoder,EstimatedDistance
45.983999999999995,177.71771999999999,368.20268,9.0076866
46.01599999999999,177.68004,368.24036,9.0076866
46.048,177.63608,368.27804,9.007582979999999
46.08,177.5984,368.322,9.0076866
46.111999999999995,177.56072,368.35968,9.007686600000001
46.14399999999999,177.52304,368.39736,9.0076866
46.176,177.48536,368.43504,9.0076866
46.208,177.44768,368.47272,9.0076866
46.239999999999995,177.40372,368.5104,9.00758298
46.27199999999999,177.36604,368.55436,9.0076866
46.304,177.32836,368.59204,9.0076866
46.336,177.29068,368.62972,9.007686600000001
46.367999999999995,177.253,368.6674,9.0076866
46.39999999999999,177.21532,368.70508,9.0076866
46.432,177.17136,368.74276,9.00758298
46.464,177.13368,368.78672,9.007686600000001
46.495999999999995,177.096,368.8244,9.007686600000001
46.52799999999999,177.05832,368.86208,9.0076866
46.56,177.02064,368.89976,9.0076866
46.592,176.97668,368.93744,9.00758298
46.623999999999995,176.939,368.9814,9.007686600000001
46.65599999999999,176.90132,369.01908,9.0076866
46.688,176.86364,369.05676,9.0076866
46.72,176.82596,369.09444,9.007686600000001
46.751999999999995,176.78828,369.13212,9.0076866
46.78399999999999,176.74432,369.1698,9.00758298
46.816,176.70664,369.21376,9.0076866
46.848,176.66896,369.25144,9.0076866
46.879999999999995,176.63128,369.28912,9.007686600000001
46.91199999999999,176.5936,369.3268,9.0076866
46.944,176.55592,369.36448,9.0076866
46.976,176.51196,369.40216,9.007582979999999
47.007999999999996,176.47428,369.44612,9.0076866
47.03999999999999,176.4366,369.4838,9.0076866
47.072,176.39892,369.52148,9.0076866
47.104,176.36124,369.55916,9.007686600000001
47.135999999999996,176.31728,369.59684,9.00758298
47.16799999999999,176.2796,369.63452,9.00758298
47.2,176.24192,369.67848,9.0076866
47.232,176.20424,369.71616,9.0076866
47.263999999999996,176.16656,369.75384,9.007686600000001
47.29599999999999,176.12888,369.79152,9.007686600000001
47.328,176.08492,369.8292,9.00758298
47.36,176.04724,369.87316,9.0076866
47.391999999999996,176.00956,369.91084,9.007686600000001
47.42399999999999,175.97188,369.94852,9.0076866
47.456,175.9342,369.9862,9.007686600000001
47.488,175.89652,370.02388,9.0076866
47.519999999999996,175.85256,370.06156,9.00758298
47.55199999999999,175.81488,370.10552,9.007686600000001
47.584,175.7772,370.1432,9.0076866
47.616,175.73952,370.18088,9.0076866
47.647999999999996,175.70184,370.21856,9.0076866
47.67999999999999,175.65788,370.25624,9.00758298
47.712,175.6202,370.29392,9.007582980000002
47.744,175.58252,370.33788,9.0076866
47.775999999999996,175.54484,370.37556,9.0076866
47.80799999999999,175.50716,370.41324,9.0076866
47.84,175.46948,370.45092,9.0076866
47.872,175.42552,370.4886,9.00758298
47.903999999999996,175.38784,370.53256,9.0076866
47.93599999999999,175.35016,370.57024,9.0076866
47.968,175.31248,370.60792,9.0076866
48.0,175.2748,370.6456,9.0076866
48.032,175.23712,370.68328,9.007686600000001
48.06399999999999,175.19316,370.72096,9.00758298
48.096000000000004,175.15548,370.76492,9.007686600000001
48.128,175.1178,370.8026,9.0076866
48.16,175.08012,370.84028,9.0076866
48.19199999999999,175.04244,370.87796,9.0076866
48.224000000000004,174.99848,370.91564,9.00758298
48.256,174.9608,370.95332,9.00758298
48.288,174.92312,370.99728,9.0076866
48.31999999999999,174.88544,371.03496,9.0076866
48.352000000000004,174.84776,371.07264,9.0076866
48.384,174.81008,371.11032,9.007686600000001
48.416,174.76612,371.148,9.00758298
48.44799999999999,174.72844,371.19196,9.0076866
48.480000000000004,174.69076,371.22964,9.007686600000001
48.512,174.65308,371.26732,9.0076866
48.544,174.6154,371.305,9.0076866
48.57599999999999,174.57772,371.34268,9.0076866
48.608000000000004,174.53376,371.38036,9.00758298
48.64,174.49608,371.42432,9.007686600000001
48.672,174.4584,371.462,9.0076866
48.70399999999999,174.42072,371.49968,9.0076866
48.736000000000004,174.38304,371.53736,9.0076866
48.768,174.34536,371.57504,9.0076866
48.8,174.3014,371.61272,9.00758298
48.831999999999994,174.26372,371.65668,9.0076866
48.864000000000004,174.22604,371.69436,9.007686600000001
48.896,174.18836,371.73204,9.0076866
48.928,174.15068,371.76972,9.0076866
48.959999999999994,174.10672,371.8074,9.00758298
48.992000000000004,174.06904,371.85136,9.0076866
49.024,174.03136,371.88904,9.007686600000001
49.056,173.99368,371.92672,9.007686600000001
49.087999999999994,173.956,371.9644,9.0076866
49.120000000000005,173.91832,372.00208,9.0076866
49.152,173.87436,372.03976,9.00758298
49.184,173.83668,372.08371999999997,9.0076866
49.215999999999994,173.799,372.1214,9.0076866
49.248000000000005,173.76132,372.15908,9.0076866
49.28,173.72364,372.19676,9.0076866
49.312,173.68596,372.23444,9.007686600000001
49.343999999999994,173.642,372.27212,9.007582979999999
49.376000000000005,173.60432,372.31608,9.0076866
49.408,173.56664,372.35376,9.007686600000001
49.44,173.52896,372.39144,9.0076866
49.471999999999994,173.49128,372.42912,9.007686600000001
49.504000000000005,173.44732,372.4668,9.007582979999999
49.536,173.40964,372.50448,9.00758298
49.568,173.37196,372.54844,9.007686600000001
49.599999999999994,173.33428,372.58612,9.0076866
49.632000000000005,173.2966,372.6238,9.007686600000001
49.664,173.25892,372.66148,9.0076866
49.696,173.21496,372.69916,9.00758298
49.727999999999994,173.17728,372.74312,9.0076866
49.75999999999999,173.1396,372.7808,9.0076866
49.792,173.10192,372.81848,9.007686600000001
49.824,173.06424,372.85616,9.007686600000001
49.855999999999995,173.02656,372.89384,9.0076866
49.88799999999999,172.9826,372.93152,9.00758298
49.92,172.94492,372.97548,9.0076866
49.952,172.90724,373.01316,9.007686600000001
49.983999999999995,172.86956,373.05084,9.007686600000001
50.01599999999999,172.83188,373.08852,9.007686600000001
50.048,172.78792,373.1262,9.00758298
50.08,172.75024,373.16388,9.00758298
