time,true_x,true_z,est_x,est_z
9.728,-0.9495310996563558,-1.7727797536313006,-5.0,5.0
9.76,-0.9495207281553778,-1.772780852849814,-5.0,5.0
9.792,-0.949510273016577,-1.7727820358913768,-5.0,5.0
9.824,-0.9494999321856354,-1.7727831594781502,-5.0,5.0
9.856,-0.9494893116605869,-1.7727844324567328,-5.0,5.0
9.888,-0.9494786295101196,-1.7727857251941042,-5.0,5.0
9.92,-0.9494684212638022,-1.7727867772011634,-5.0,5.0
9.952,-0.9494579262395132,-1.7727879999189966,-5.0,5.0
9.984,-0.9494478736561826,-1.772788987090162,-5.0,5.0
10.016,-0.9494376429472192,-1.7727900883842356,-5.0,5.0
10.048,-0.9494270145650101,-1.7727913846527974,-5.0,5.0
10.08,-0.9494163239234414,-1.7727926949627562,-5.0,5.0
10.112,-0.9494056236215269,-1.7727940090731111,-5.0,5.0
10.144,-0.9493956522708492,-1.7727949557519793,-5.0,5.0
10.176,-0.9493850222739535,-1.7727962741302918,-5.0,5.0
10.208,-0.9493747943192821,-1.772797359232768,-5.0,5.0
10.24,-0.9493648611172432,-1.7727983168532233,-5.0,5.0
10.272,-0.9493540505197373,-1.7727997358775458,-5.0,5.0
10.304,-0.9493432209605485,-1.7728011238883805,-5.0,5.0
10.336,-0.9493335238072652,-1.7728019391935514,-5.0,5.0
10.368,-0.9493232556723363,-1.7728031016152643,-5.0,5.0
10.4,-0.9493126269278812,-1.7728044216309542,-5.0,5.0
10.432,-0.9493032313474903,-1.7728051012002843,-5.0,5.0
10.464,-0.9492919975918188,-1.7728067749204903,-5.0,5.0
10.496,-0.9492821689674391,-1.772807649066439,-5.0,5.0
10.528,-0.9492722122605873,-1.7728086584788707,-5.0,5.0
10.56,-0.9492621701062629,-1.7728097076621678,-5.0,5.0
10.592,-0.9492514974733619,-1.77281107446951,-5.0,5.0
10.624,-0.9492409849417942,-1.772812331234263,-5.0,5.0
10.656,-0.9492302144260768,-1.7728137284661425,-5.0,5.0
10.688,-0.9492205815216244,-1.7728145385320642,-5.0,5.0
10.72,-0.9492103498236474,-1.7728157102934288,-5.0,5.0
10.752,-0.9491996223090889,-1.772817107102228,-5.0,5.0
10.784,-0.9491901715614682,-1.7728178343461523,-5.0,5.0
10.816,-0.9491797300694368,-1.7728191288162776,-5.0,5.0
10.848,-0.9491695905861204,-1.772820224453558,-5.0,5.0
10.88,-0.9491595449646332,-1.7728212892304123,-5.0,5.0
10.912,-0.9491497166974227,-1.7728222506769542,-5.0,5.0
10.944,-0.9491393682559206,-1.7728234889459609,-5.0,5.0
10.976,-0.9491290939912562,-1.7728246663675868,-5.0,5.0
11.008,-0.949118321369912,-1.7728261022331906,-5.0,5.0
11.04,-0.949108295048647,-1.772827137199482,-5.0,5.0
11.072,-0.9490988070552383,-1.7728279376323466,-5.0,5.0
11.104,-0.949089817213928,-1.7728285143307914,-5.0,5.0
11.136,-0.9490793015468344,-1.772829892531106,-5.0,5.0
11.168,-0.9490688379006078,-1.7728311719323993,-5.0,5.0
