Step,True_X,True_Z,True_Theta,Est_X,Est_Z,Est_Theta
181,-0.7606210863338541,-2.606502268354169,-1.5665226701391224,-0.7852533737655407,-2.606795542058942,-2.427087698033278
182,-0.7606191036299771,-2.6065023636897777,-1.5665136641295516,-0.7484943477662183,-2.6156945998018952,-2.4913767201536063
183,-0.7606171209289689,-2.6065024590383654,-1.5665046581271085,-0.7804586705838094,-2.577179176043353,-2.5140257642213593
184,-0.760615138230632,-2.6065025543998575,-1.5664956521284656,-0.7628479695700305,-2.6054059617281924,-2.572535669729691
185,-0.7606131555347806,-2.606502649774181,-1.5664866461304991,-0.7405382554841369,-2.607315493014416,-2.6895155051869906
186,-0.7606111728412388,-2.6065027451612606,-1.5664776401302614,-0.7437529035477923,-2.6361678359328953,-2.726740660696098
187,-0.76060919014984,-2.606502840561021,-1.5664686341249663,-0.7494879827006299,-2.6277995516019783,-2.6142084024746213
188,-0.7606072074604254,-2.606502935973388,-1.566459628111968,-0.7352960523627714,-2.6241737993210803,-2.6921186704832505
189,-0.7606052247728434,-2.606503031398285,-1.5664506220887464,-0.7478226954371181,-2.6128042313578623,-2.933123192942166
190,-0.7606032420869487,-2.6065031268356362,-1.5664416160528913,-0.75576788352122,-2.627248694897037,-3.012065725307961
191,-0.7606012594026016,-2.6065032222853666,-1.566432610002092,-0.7599555007751088,-2.6191544365369284,-2.9387353929580775
192,-0.7605992767196673,-2.6065033177474,-1.5664236039341304,-0.7544785304786039,-2.617576861526095,3.134709513038595
193,-0.7605972940380158,-2.6065034132216605,-1.5664145978468638,-0.7443716048904067,-2.5515183350228177,2.8772449174281562
194,-0.760595311357521,-2.606503508708073,-1.5664055917382251,-0.7479419794943852,-2.5477903864176095,2.8702414554093143
195,-0.7605933286780604,-2.6065036042065626,-1.566396585606215,-0.7927650955837702,-2.601694322677573,2.1174790139811246
196,-0.7605913459995156,-2.6065036997170536,-1.5663875794488908,-0.7798539583562962,-2.624206873101617,1.0457794542402346
197,-0.76058936332177,-2.6065037952394725,-1.5663785732643705,-0.7704057982123675,-2.643473028876371,0.6907572346945323
198,-0.7605873806447113,-2.6065038907737454,-1.5663695670508182,-0.7729703175214704,-2.6327592476020794,0.4447650111340339
199,-0.7605853979682289,-2.6065039863197983,-1.5663605608064513,-0.7476532115138838,-2.597423034439315,0.5422621916545142
200,-0.7605834152922151,-2.6065040818775587,-1.5663515545295277,-0.7601545881281269,-2.6200618472743002,0.2875098468718233
201,-0.7605814326165647,-2.6065041774469546,-1.5663425482183504,-0.7808499411611913,-2.677264453670753,-0.24972899606579127
202,-0.7605794499411747,-2.6065042730279147,-1.5663335418712645,-0.7629522608909229,-2.649017262872314,-0.2361292200421379
203,-0.7605774672659441,-2.6065043686203686,-1.5663245354866506,-0.766063971214337,-2.6266046023178853,-0.4537650794773308
204,-0.7605754845907742,-2.6065044642242468,-1.5663155290629296,-0.7390969495306806,-2.6202891296538677,-0.3420921515532923
205,-0.760573501915568,-2.60650455983948,-1.566306522598557,-0.7597426392859091,-2.609718782584689,0.15324434688416513
206,-0.7605715192402315,-2.6065046554660007,-1.5662975160920265,-0.7507578629918077,-2.585251167925384,0.48103443120806094
207,-0.7605695365646712,-2.606504751103742,-1.5662885095418644,-0.7768638793809028,-2.6031412675755106,0.678735179773157
208,-0.7605675538887969,-2.606504846752638,-1.566279502946632,-0.7603311695641112,-2.5565820091927027,0.7388920901918422
209,-0.7605655712125197,-2.6065049424126236,-1.5662704963049252,-0.7507616376303924,-2.5682040335539305,0.8786273573592664
210,-0.7605635885357525,-2.606505038083636,-1.5662614896153766,-0.7222590786286796,-2.591009866136554,0.7633286654022893
211,-0.7605616058584108,-2.6065051337656127,-1.5662524828766469,-0.7555925689283668,-2.6244782901095016,0.5706728083576882
212,-0.7605596231804111,-2.6065052294584925,-1.5662434760874362,-0.7787075565454661,-2.596048067462869,0.7093268010920832
213,-0.7605576405016728,-2.6065053251622152,-1.566234469246477,-0.8035734529537008,-2.5852487541887847,1.483162088851852
214,-0.7605556578221168,-2.606505420876723,-1.5662254623525358,-0.8240049430524208,-2.563515236791581,1.649158921648205
215,-0.7605536751416659,-2.6065055166019584,-1.5662164554044145,-0.7951797494693114,-2.568654113914999,1.5667284680521154
216,-0.7605516924602456,-2.606505612337866,-1.5662074484009485,-0.7529448954600068,-2.5459721574281517,2.025936090922894
217,-0.7605497097777821,-2.6065057080843914,-1.5661984413410113,-0.7682207336136138,-2.5722124843430856,2.039480155431499
218,-0.7605477270942053,-2.606505803841482,-1.5661894342235088,-0.7965147972051342,-2.564638348895837,-2.951491462961067
219,-0.760545744409446,-2.6065058996090866,-1.5661804270473876,-0.7821706237733419,-2.584625165758981,-2.4699603890762503
220,-0.7605437617234379,-2.606505995387155,-1.5661714198116257,-0.7904844753100091,-2.5867330051920474,-2.0308033997622204
221,-0.7605417790361162,-2.6065060911756404,-1.566162412515242,-0.7701412407127006,-2.574922744920811,-0.7193114181428372
222,-0.7605397963474191,-2.606506186974496,-1.5661534051572892,-0.7885682979271514,-2.5936661640588756,-1.6567244798517125
223,-0.7605378136572863,-2.606506282783676,-1.5661443977368605,-0.7932173438484819,-2.581619619046298,-2.1220608931442997
224,-0.7605358309656601,-2.606506378603138,-1.5661353902530888,-0.7921199132623471,-2.594206838390024,-2.2035606891001525
225,-0.7605338482724849,-2.606506474432842,-1.5661263827051415,-0.7709447592261581,-2.5903652942361175,-2.30547285168569
226,-0.7605318655777079,-2.606506570272747,-1.5661173750922281,-0.7742802118060657,-2.581409349270978,-1.9958771975039555
227,-0.760529882881278,-2.606506666122815,-1.5661083674135965,-0.7897480958483004,-2.5730937828222826,-1.947470237166495
228,-0.7605279001831465,-2.606506761983012,-1.5660993596685377,-0.7766830047455795,-2.6032313674481395,-2.129129606727965
229,-0.7605259174832679,-2.606506857853302,-1.5660903518563767,-0.7764383861482905,-2.59407887950007,-2.0911946919809217
230,-0.7605239347815985,-2.6065069537336547,-1.5660813439764867,-0.7714800496286447,-2.629447558226953,-2.2021905520998257
231,-0.760521952078097,-2.6065070496240383,-1.5660723360282773,-0.7624869379801165,-2.6586234201438974,-2.532553266159657
