Step,True_X,True_Z,True_Theta,Est_X,Est_Z,Est_Theta,RMSE
123,0.24757251882545656,-1.981111938917236,-1.5130426160408827,0.26425965692203424,-0.7939241822340755,-1.0328433490498603,1.1873050282872761
124,0.24786459665662913,-1.9760005262667737,-1.513017357188238,0.28496276743298243,-0.7558773413865076,-1.091483151080469,1.2206870444783606
125,0.2481568035562779,-1.9708891192139004,-1.512992097670179,0.21701320665509835,-0.6794174041976988,-1.5082182801949109,1.2918471714234747
126,0.24844913952736272,-1.965777717762747,-1.5129668374854894,0.3053095978177061,-0.7892634730869043,1.490701801826309,1.1778874647614503
127,0.24874160457305827,-1.9606663219174305,-1.5129415766328995,0.4111222531874314,-0.7166239414191676,-0.4149982670988189,1.254595121750523
128,0.2490341986967522,-1.9555549316820413,-1.5129163151110983,0.321507824491565,-0.9458053759351673,-1.3277853744570471,1.0123470708047
129,0.24932692190203962,-1.9504435470606323,-1.512891052918731,0.5002887375794829,-0.8233390223989945,2.0751206692322772,1.1547062147753668
130,0.24961977419271472,-1.9453321680572095,-1.5128657900544,0.3008182389682894,-0.8915783270265893,0.0209554556997739,1.0549968911244059
131,0.24991275557275797,-1.940220794675719,-1.5128405265166724,0.3396544331286341,-0.7776120113263214,-2.1890489898766994,1.1660672158206444
132,0.2502058660463211,-1.9351094269200406,-1.5128152623040778,0.2925329785641196,-1.064480696580742,-1.01139349433853,0.8716570257540023
133,0.25049910561770866,-1.9299980647939803,-1.5127899974151193,0.4996417809382271,-0.7382920804556836,-0.44244639807035935,1.2174708315904632
134,0.25079247429135726,-1.9248867083012633,-1.5127647318482789,0.47714947249270706,-0.7218365077096879,-2.898864224277775,1.2241598244421175
135,0.25108597207181316,-1.9197753574455305,-1.5127394656020212,0.29369734388395197,-0.8253982485912357,-1.9694550600336185,1.0952063665775493
136,0.2513795989637074,-1.9146640122303342,-1.5127141986747983,0.4384966646913871,-0.7326136799449582,2.4379219592730688,1.1967688934554175
137,0.25167335497173005,-1.9095526726591385,-1.5126889310650586,0.11892615661877477,-0.7132887595129229,-1.9177728277153543,1.2036067333504143
138,0.25196724010060373,-1.9044413387353183,-1.5126636627712562,0.3714559618271141,-0.7291696320824811,0.18644621622636692,1.1813302413290314
139,0.25226125435505675,-1.899330010462163,-1.5126383937918557,0.37855617231243,-0.8146760672647637,2.1695812032461284,1.0919819516803044
140,0.2525553977397969,-1.8942186878428788,-1.5126131241253387,0.10838194668410835,-0.9383093164586708,0.2893538145856265,0.9667205957718387
141,0.2528496702594853,-1.889107370880595,-1.512587853770213,0.4030789319028026,-0.8070935425289283,-3.024246232166972,1.0923931324381924
142,0.25314407191871174,-1.88399605957837,-1.5125625827250162,0.4024963186202951,-0.8531544634233966,-1.8692551396561485,1.0416047666740702
143,0.253438602721972,-1.8788847539392004,-1.5125373109883253,0.1741001891005696,-0.8724714055168454,-0.9602095775442875,1.009535740703942
144,0.25373326267364665,-1.873773453966029,-1.5125120385587618,0.5134705270435144,-0.8906728308400014,-0.4457474323776771,1.0168334581892582
145,0.2540280517779828,-1.8686621596617559,-1.5124867654349916,0.37507957475361225,-0.7171681448558617,-1.5321684047594653,1.157839340041837
146,0.2543229700390784,-1.8635508710292503,-1.512461491615741,0.5698947695270739,-0.7668848624538769,-3.1401879646598765,1.1411669005876104
147,0.2546180174608695,-1.85843958807136,-1.5124362170997891,0.2673354308459728,-0.9870545294673944,-1.0803356065911451,0.8714778556919529
148,0.25491319404712126,-1.8533283107909257,-1.5124109418859777,0.47740458815470627,-0.9539087703939402,-1.2271669307897524,0.9265300481365197
149,0.2552084998014223,-1.848217039190791,-1.512385665973211,0.4354693411969565,-0.7518258795841605,-2.3604138501781113,1.1111109511674333
150,0.25550393472718186,-1.843105773273816,-1.5123603893604565,0.3035679953392042,-0.8673742107263515,1.4037816267454908,0.9769146513763795
151,0.25579949882763203,-1.8379945130428867,-1.5123351120467463,0.38217806733390625,-0.9236514022073983,0.03289196819902005,0.9230356801933571
152,0.25609519210583176,-1.832883258500928,-1.5123098340311776,0.1929023181074287,-0.7117179868316458,-2.4369147428558517,1.1229447474036438
153,0.256391014564676,-1.8277720096509125,-1.5122845553129018,0.16941762079123995,-0.8277600893584753,-1.4547661842035606,1.003786935535344
